"Num_Acc";"senc";"catv";"occutc";"obs";"obsm";"choc";"manv";"an";"mois";"jour";"hrmn";"Jour_semaine";"lum";"agg";"atm";"adr";"long";"lat";"dep"
200500008007;0;7;0;14;0;4;23;2005;2;22;1240;"Mardi";1;2;4;"264, FAUBOURG BANNIER (R";"";NA;450
200500008007;0;7;0;0;0;4;23;2005;2;22;1240;"Mardi";1;2;4;"264, FAUBOURG BANNIER (R";"";NA;450
200500008008;0;7;0;1;1;3;16;2005;2;23;835;"Mercredi";1;2;4;"26, MALHERBE  (RUE FRANC";"";NA;450
200500008009;0;2;0;14;0;1;15;2005;2;23;1845;"Mercredi";5;2;1;"21, JAURES (BOULEVARD JE";"";NA;450
200500008010;0;7;0;0;1;3;16;2005;2;24;1850;"Jeudi";5;2;1;"44, JAURES (RUE JEAN JAU";"";NA;450
200500008011;0;7;0;0;2;3;16;2005;2;25;945;"Vendredi";1;2;1;", BROSSOLETTE (RUE PIERR";"";NA;450
200500008011;0;7;0;0;2;2;1;2005;2;25;945;"Vendredi";1;2;1;", BROSSOLETTE (RUE PIERR";"";NA;450
200500008012;0;7;0;0;2;2;15;2005;2;26;2120;"Samedi";5;2;1;"OLIVET (ROUTE D'OLIVET)";"";NA;450
200500008012;0;2;0;0;0;3;1;2005;2;26;2120;"Samedi";5;2;1;"OLIVET (ROUTE D'OLIVET)";"";NA;450
200500008013;0;7;0;8;0;1;0;2005;2;26;2040;"Samedi";4;2;4;"628, FORT  (RUE DU)";"";NA;450
200500008014;0;7;0;0;1;0;0;2005;2;26;635;"Samedi";5;2;1;"17, TREVISE (AVENUE DE)";"";NA;450
200500008015;0;19;0;0;1;2;0;2005;2;25;2045;"Vendredi";5;2;1;"53, ROYALE (RUE)";"";NA;450
200500008016;0;7;0;0;0;6;9;2005;2;25;2250;"Vendredi";5;2;1;"BANNIER (RUE DU FAUBOURG";"";NA;450
200500008016;0;2;0;0;2;1;1;2005;2;25;2250;"Vendredi";5;2;1;"BANNIER (RUE DU FAUBOURG";"";NA;450
200500008017;0;7;0;0;2;1;1;2005;2;28;1605;"Lundi";1;2;1;"57, CIGOGNE (RUE DE LA)";"";NA;450
200500008017;0;15;0;0;2;6;1;2005;2;28;1605;"Lundi";1;2;1;"57, CIGOGNE (RUE DE LA)";"";NA;450
200500011723;0;10;0;0;2;3;15;2005;2;9;1815;"Mercredi";2;2;1;"RN 157";"0.0";0;450
200500011723;0;5;0;0;2;1;1;2005;2;9;1815;"Mercredi";2;2;1;"RN 157";"0.0";0;450
200500011724;0;7;0;0;0;1;0;2005;2;12;1730;"Samedi";1;1;1;"";"212700.0";4790200;450
200500011725;0;7;0;0;0;3;15;2005;2;4;1945;"Vendredi";5;2;1;"Boulevard Carnot";"212300.0";4787100;450
