"Num_Acc";"cat1";"cat2";"cat3";"cat4";"cat5";"cat6"
"200500049866";"0";"0";"1";"0";"0";"0"
"200500049867";"0";"0";"1";"0";"0";"0"
"200500049868";"0";"1";"0";"0";"0";"0"
"200500049869";"0";"0";"1";"0";"0";"0"
"200500049870";"0";"0";"2";"0";"0";"0"
"200500049871";"0";"0";"2";"0";"0";"0"
"200500049872";"0";"0";"0";"1";"0";"0"
"200500049873";"0";"1";"0";"0";"0";"0"
"200500049874";"0";"1";"0";"0";"0";"0"
"200500049875";"0";"0";"2";"0";"0";"0"
"200500049876";"0";"0";"1";"0";"0";"0"
"200500049877";"0";"0";"1";"0";"0";"0"
"200500049878";"0";"1";"0";"0";"0";"0"
"200500049879";"0";"0";"1";"0";"0";"0"
"200500049880";"1";"0";"1";"0";"0";"0"
"200500049881";"0";"0";"1";"0";"0";"0"
"200500049882";"0";"1";"1";"0";"0";"0"
"200500049883";"0";"0";"1";"0";"0";"0"
"200500049884";"0";"1";"0";"0";"0";"0"
"200500049885";"0";"0";"1";"0";"0";"0"
"200500049886";"0";"0";"1";"0";"0";"0"
"200500049887";"0";"0";"1";"0";"0";"0"
"200500049888";"0";"0";"2";"0";"0";"0"
"200500049889";"0";"1";"0";"0";"0";"0"
"200500049890";"0";"0";"1";"1";"0";"0"
"200500049891";"0";"0";"0";"0";"0";"0"
"200500050049";"0";"0";"2";"0";"0";"0"
"200500050050";"0";"0";"1";"0";"0";"0"
"200500050210";"0";"0";"1";"0";"0";"0"
"200500051557";"0";"0";"1";"0";"0";"0"
"200500051558";"0";"0";"1";"0";"0";"0"
"200500051559";"0";"0";"1";"0";"0";"0"
"200500051560";"0";"1";"1";"0";"0";"0"
"200500051561";"0";"1";"0";"0";"0";"0"
"200500051562";"1";"0";"0";"0";"0";"0"
"200500051563";"0";"0";"1";"0";"0";"0"
"200500051564";"0";"0";"3";"0";"0";"0"
"200500051565";"0";"0";"3";"0";"0";"0"
"200500051566";"0";"1";"1";"0";"0";"0"
"200500051567";"0";"0";"2";"0";"0";"0"
"200500051568";"1";"0";"1";"0";"0";"0"
"200500051569";"0";"0";"2";"0";"0";"0"
"200500055384";"0";"0";"1";"0";"0";"0"
"200500055818";"0";"1";"0";"0";"0";"0"
"200500055819";"0";"0";"1";"0";"0";"0"
"200500055820";"0";"0";"1";"0";"0";"0"
"200500055821";"0";"0";"1";"0";"0";"0"
"200500055822";"0";"1";"1";"0";"0";"0"
"200500055823";"0";"0";"3";"0";"0";"0"
"200500055824";"0";"0";"1";"0";"0";"0"
"200500055825";"0";"0";"2";"0";"0";"0"
"200500055826";"0";"0";"2";"0";"0";"0"
"200500055827";"0";"1";"1";"0";"0";"0"
"200500055828";"0";"0";"2";"0";"0";"0"
"200500055829";"0";"0";"1";"1";"0";"0"
"200500055830";"0";"0";"2";"0";"0";"0"
"200500055831";"0";"0";"1";"0";"0";"0"
"200500055832";"0";"0";"1";"0";"0";"0"
"200500055833";"0";"0";"2";"0";"0";"0"
"200500055834";"0";"0";"3";"0";"0";"0"
"200500055835";"0";"0";"2";"0";"0";"0"
"200500055836";"0";"0";"2";"0";"0";"0"
"200500055837";"0";"0";"1";"0";"0";"0"
"200500055838";"0";"0";"2";"0";"0";"0"
"200500055839";"0";"0";"1";"0";"0";"0"
"200500055840";"0";"1";"1";"0";"0";"0"
"200500055841";"0";"0";"0";"0";"0";"1"
"200500055842";"0";"0";"1";"0";"0";"0"
"200500055843";"0";"0";"1";"0";"0";"0"
"200500056051";"0";"0";"2";"0";"0";"0"
"200500056052";"0";"0";"0";"1";"0";"0"
"200500056053";"0";"0";"1";"0";"0";"0"
"200500056054";"0";"0";"1";"1";"0";"0"
"200500056055";"0";"0";"1";"0";"0";"0"
"200500058651";"0";"0";"2";"0";"0";"0"
"200500058652";"0";"1";"1";"0";"0";"0"
"200500058653";"0";"1";"1";"0";"0";"0"
"200500058654";"0";"1";"2";"0";"0";"0"
"200500058655";"1";"0";"1";"0";"0";"0"
"200500058656";"0";"2";"0";"0";"0";"0"
"200500058657";"0";"0";"0";"0";"0";"1"
"200500058658";"0";"1";"1";"0";"0";"0"
"200500058659";"0";"0";"1";"0";"0";"0"
"200500058660";"0";"1";"1";"0";"0";"0"
"200500058661";"1";"0";"1";"0";"0";"0"
"200500058662";"0";"1";"0";"0";"0";"0"
"200500062169";"0";"0";"2";"0";"0";"0"
"200500062170";"0";"0";"1";"0";"0";"0"
"200500062171";"0";"0";"2";"0";"0";"0"
"200500062172";"0";"0";"0";"0";"0";"0"
"200500062173";"0";"0";"1";"0";"0";"0"
"200500062174";"0";"0";"2";"0";"0";"0"
"200500062175";"0";"1";"1";"0";"0";"0"
"200500062176";"0";"1";"1";"0";"0";"0"
"200500062177";"1";"0";"1";"0";"0";"0"
"200500062178";"0";"0";"2";"0";"0";"0"
"200500062179";"0";"0";"3";"0";"0";"0"
"200500062180";"0";"0";"2";"0";"0";"0"
"200500062181";"0";"0";"1";"0";"0";"0"
"200500062182";"0";"0";"2";"0";"0";"0"
"200500062183";"0";"0";"3";"0";"0";"0"
"200500062184";"1";"0";"1";"0";"0";"0"
"200500062185";"0";"0";"1";"0";"0";"0"
"200500062186";"0";"1";"1";"0";"0";"0"
"200500062187";"0";"0";"0";"0";"0";"0"
